"","artists","track_name","duration_ms","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"1","Bad Bunny, Jhay Cortez","Dakiti",205090,100,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928
"2","Sam Smith;Kim Petras","Unholy (feat. Kim Petras)",156943,100,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121
"3","24kGoldn, iann dior","Mood (feat. iann dior)",140526,99,0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989
"4","Bizarrap;Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",198937,99,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033
"5","David Guetta;Bebe Rexha","I'm Good (Blue)",175238,98,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04
"6","Manuel Turizo","La Bachata",162637,98,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98
"7","BTS","Dynamite",199054,97,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044
"8","Bad Bunny;Chencho Corleone","Me Porto Bonito",178567,97,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005
"9","Bad Bunny","Tití Me Preguntó",243716,97,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672
"10","Cardi B, Megan Thee Stallion","WAP (feat. Megan Thee Stallion)",187541,96,0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073
"11","Ariana Grande","positions",172325,96,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015
"12","Pop Smoke","What You Know Bout Love",160000,96,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995
"13","The Weeknd","Blinding Lights",200040,96,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
"14","Chris Brown","Under The Influence",184613,96,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992
"15","Bad Bunny","Efecto",213061,96,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047
"16","OneRepublic","I Ain't Worried",148485,96,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994
"17","Pop Smoke, Lil Baby, DaBaby","For The Night (feat. Lil Baby & DaBaby)",190476,95,0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971
"18","Justin Bieber, Chance the Rapper","Holy (feat. Chance The Rapper)",212093,95,0.673,0.704,6,-8.056,1,0.36,0.196,0,0.0898,0.372,86.919
"19","Justin Bieber, benny blanco","Lonely (with benny blanco)",149297,95,0.631,0.239,11,-7.071,0,0.0398,0.864,0,0.116,0.0927,79.859
"20","Tate McRae","you broke me first",169266,95,0.642,0.374,4,-9.386,1,0.0545,0.786,0,0.0906,0.0799,124.099
"21","Bad Bunny;Bomba Estéreo","Ojitos Lindos",258298,95,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928
"22","Harry Styles","As It Was",167303,95,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
"23","Harry Styles","Watermelon Sugar",174000,94,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39
"24","Internet Money, Gunna, Don Toliver, NAV","Lemonade",195429,94,0.799,0.66,1,-6.153,0,0.079,0.256,0,0.111,0.471,140.04
"25","Joel Corry, MNEK","Head & Heart (feat. MNEK)",166028,94,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953
"26","Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko","Relación - Remix",247308,94,0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943
"27","Bad Bunny","Moscow Mule",245939,94,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968
"28","Joji","Glimpse of Us",233456,94,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914
"29","Drake, Lil Durk","Laugh Now Cry Later (feat. Lil Durk)",261493,93,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976
"30","Conan Gray","Heather",198040,93,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078
"31","Ritt Momney","Put Your Records On",210463,93,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066
"32","Billie Eilish","Therefore I Am",174321,93,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009
"33","The Neighbourhood","Sweater Weather",240400,93,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053
"34","Tom Odell","Another Love",244360,93,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769
"35","Beyoncé","CUFF IT",225388,93,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042
"36","Bad Bunny","Neverita",173119,93,0.876,0.498,10,-7.511,1,0.0478,0.0706,0,0.143,0.428,122.016
"37","KAROL G","PROVENZA",210200,93,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005
"38","Topic, A7S","Breaking Me",166794,92,0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031
"39","Ariana Grande","34+35",173711,92,0.83,0.585,0,-6.476,1,0.094,0.237,0,0.248,0.485,109.978
"40","Shawn Mendes","Wonder",172693,92,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898
"41","Jason Derulo","Take You Dancing",190306,92,0.789,0.711,2,-4.248,1,0.041,0.0332,0,0.0876,0.753,112.985
"42","J Balvin, Tainy, Dua Lipa, Bad Bunny","UN DIA (ONE DAY) (Feat. Tainy)",232253,92,0.571,0.693,6,-8.234,0,0.0545,0.00536,0,0.173,0.393,168.169
"43","Maluma","Hawái",200198,92,0.787,0.728,6,-3.455,0,0.389,0.189,2.29e-05,0.0629,0.545,180.066
"44","Lele Pons, Guaynaa","Se Te Nota (with Guaynaa)",155825,92,0.905,0.686,0,-3.152,1,0.0664,0.0907,0,0.266,0.963,103.013
"45","Jay Wheeler, DJ Nelson, Myke Towers","La Curiosidad",219048,92,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013
"46","Manuel Turizo, Rauw Alejandro, Myke Towers","La Nota",216107,92,0.736,0.632,11,-4.939,0,0.0648,0.18,0,0.349,0.503,92.03
"47","Farruko","La Tóxica",180520,92,0.659,0.701,9,-4.107,1,0.164,0.0882,0,0.0866,0.623,91.97
"48","Camilo","Vida de Rico",187427,92,0.824,0.457,6,-5.428,1,0.0543,0.167,0,0.041,0.95,87.977
"49","Charlie Puth;Jung Kook;BTS","Left and Right (Feat. Jung Kook of BTS)",154486,92,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058
"50","Nicki Minaj","Super Freaky Girl",170977,92,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01
"51","Arctic Monkeys","I Wanna Be Yours",183956,92,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528
"52","Rema;Selena Gomez","Calm Down (with Selena Gomez)",239317,92,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999
"53","Lewis Capaldi","Someone You Loved",182161,91,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891
"54","DJ Khaled, Drake","POPSTAR (feat. Drake)",200221,91,0.8,0.56,5,-4.818,0,0.261,0.057,0,0.134,0.45,163.071
"55","Miley Cyrus","Midnight Sky",223279,91,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110
"56","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)",171375,91,0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076
"57","KAROL G","Ay, DiOs Mío!",189653,91,0.718,0.712,11,-4.366,1,0.174,0.512,0.00121,0.104,0.531,180.034
"58","KAROL G","BICHOTA",178947,91,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908
"59","Ozuna, J Balvin, Chencho Corleone","Una Locura",230693,91,0.714,0.761,5,-4.596,0,0.0427,0.139,0.00035,0.241,0.906,168.022
"60","Maluma, Lenny Tavárez, Justin Quiles","Parce (feat. Justin Quiles)",248345,91,0.691,0.739,5,-3.09,0,0.229,0.422,3.95e-06,0.11,0.884,83.897
"61","Justin Quiles","Jeans",185840,91,0.807,0.656,3,-4.395,0,0.105,0.0165,0,0.0693,0.89,83.943
"62","Drake;21 Savage","Jimmy Cooks (feat. 21 Savage)",218364,91,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921
"63","Rauw Alejandro;Lyanno;Brray","LOKERA",195294,91,0.834,0.828,11,-2.657,0,0.0452,0.21,5.91e-06,0.103,0.58,102.019
"64","Bad Bunny;Jhayco","Tarot",237894,91,0.795,0.684,11,-3.971,0,0.0419,0.0225,0,0.658,0.419,114.011
"65","Luar La L","Caile",141340,91,0.704,0.756,0,-4.948,1,0.448,0.298,3.75e-06,0.0852,0.461,121.737
"66","Clairo","Sofia",188387,90,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997
"67","Juice WRLD","Wishing Well",194621,90,0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972
"68","Juice WRLD, Marshmello","Come & Go (with Marshmello)",205485,90,0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991
"69","Pop Smoke, Lil Tjay","Mood Swings (feat. Lil Tjay)",213333,90,0.48,0.602,10,-6.335,0,0.368,0.487,0,0.0848,0.269,179.798
"70","Ashnikko","Daisy",146523,90,0.834,0.663,8,-6.143,1,0.133,0.235,0,0.372,0.774,121.876
"71","Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",195429,90,0.8,0.658,1,-6.142,0,0.079,0.25,0,0.111,0.462,140.042
"72","Powfu, beabadoobee","death bed (coffee for your head)",173333,90,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026
"73","Maluma, The Weeknd","Hawái - Remix",200482,90,0.766,0.788,6,-3.128,0,0.312,0.105,5.81e-06,0.142,0.609,179.984
"74","BTS","Life Goes On",207481,90,0.566,0.716,1,-5.733,1,0.0424,0.00691,0,0.37,0.45,81.068
"75","Wisin, Myke Towers, Los Legendarios","Mi Niña",213314,90,0.823,0.821,8,-3.402,0,0.166,0.31,4.28e-06,0.143,0.791,99.999
"76","Rauw Alejandro, Camilo","Tattoo - Remix with Camilo",222680,90,0.848,0.637,9,-5.132,1,0.156,0.0413,0,0.0521,0.698,96.988
"77","Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)",182906,90,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969
"78","James Hype;Miggy Dela Rosa","Ferrari",186661,90,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004
"79","Seafret","Atlantis",229173,90,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159
"80","Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)",210575,90,0.637,0.715,2,-4.971,0,0.0455,0.148,0,0.0892,0.308,141.872
"81","Shakira;Rauw Alejandro","Te Felicito",172235,90,0.695,0.636,5,-4.654,1,0.317,0.234,0,0.081,0.575,174.14
"82","Bad Bunny;Rauw Alejandro","Party",227628,90,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013
"83","Bad Bunny;Tony Dize","La Corriente",198367,90,0.663,0.786,11,-3.51,0,0.195,0.229,0,0.219,0.579,196.12
"84","Kate Bush","Running Up That Hill (A Deal With God)",298933,90,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375
"85","The Weeknd;Daft Punk","Starboy",230453,90,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003
"86","Elley Duhé","MIDDLE OF THE NIGHT",184447,90,0.41,0.611,4,-8.271,0,0.0467,0.0228,0,0.116,0.0899,185.727
"87","Ruth B.","Dandelions",233720,90,0.609,0.692,1,-2.958,1,0.0259,0.0157,0,0.0864,0.454,116.959
"88","Stephen Sanchez","Until I Found You",177720,90,0.539,0.508,10,-6.05,1,0.0288,0.727,0,0.174,0.227,101.358
"89","The Weeknd;Gesaffelstein","I Was Never There",241066,90,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26
"90","KAROL G;Maldy","GATÚBELA",209160,90,0.627,0.858,11,-2.824,0,0.386,0.263,0,0.21,0.342,92.523
"91","Beach Weather","Sex, Drugs, Etc.",196784,90,0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969
"92","Fleetwood Mac","Dreams - 2004 Remaster",257800,89,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151
"93","Juice WRLD","Lucid Dreams",239836,89,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903
"94","Billie Eilish, Khalid","lovely (with Khalid)",200186,89,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284
"95","Post Malone","Circles",215280,89,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042
"96","Roddy Ricch","The Box",196653,89,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971
"97","Harry Styles","Golden",208907,89,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863
"98","Tones And I","Dance Monkey",209438,89,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027
"99","Maroon 5","Memories",189486,89,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019
"100","Ariana Grande","pov",201882,89,0.487,0.534,0,-5.664,0,0.0555,0.36,0,0.1,0.173,131.798
"101","Chris Brown, Young Thug","Go Crazy",176960,89,0.755,0.578,0,-8.932,0,0.145,0.316,0,0.25,0.581,94.148
"102","Dua Lipa, DaBaby","Levitating (feat. DaBaby)",203064,89,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977
"103","Ariana Grande, Justin Bieber","Stuck with U (with Justin Bieber)",228482,89,0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765
"104","Jerry Di","Mi Cuarto",197587,89,0.854,0.525,1,-4.426,1,0.214,0.819,0,0.146,0.63,97.054
"105","Sebastian Yatra, Guaynaa","Chica Ideal",183240,89,0.574,0.891,0,-3.665,0,0.157,0.0847,0,0.16,0.707,100.978
"106","Zach Bryan","Something in the Orange",228013,89,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212
"107","Calvin Harris;Dua Lipa","One Kiss (with Dua Lipa)",214846,89,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994
"108","Coolio;L.V.","Gangsta's Paradise",240693,89,0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.386,79.975
"109","The Kid LAROI;Justin Bieber","STAY (with Justin Bieber)",141805,89,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928
"110","Armani White","BILLIE EILISH.",99282,89,0.9,0.509,1,-6.647,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007
"111","Lizzo","About Damn Time",191822,89,0.836,0.743,10,-6.305,0,0.0656,0.0995,0,0.335,0.722,108.966
"112","Future;Drake;Tems","WAIT FOR U (feat. Drake & Tems)",189893,89,0.463,0.642,1,-4.474,1,0.34,0.314,0,0.0686,0.339,83.389
"113","The Walters","I Love You So",160239,89,0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977
"114","Mora;Feid","LA INOCENTE",202173,89,0.757,0.789,5,-3.46,0,0.0583,0.307,0,0.0717,0.464,91.911
"115","Rels B","cómo dormiste?",112572,89,0.627,0.429,1,-8.255,1,0.234,0.238,0,0.122,0.565,126.426
"116","Elton John;Britney Spears","Hold Me Closer",202245,89,0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041
"117","Billie Eilish;Khalid","lovely (with Khalid)",200185,89,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284
"118","The Weeknd","Call Out My Name",228373,89,0.461,0.593,1,-4.954,1,0.0356,0.17,0,0.307,0.175,134.17
"119","The Weeknd","Save Your Tears",215626,89,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051
"120","Imagine Dragons","Bones",165264,89,0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071
"121","Mariah Carey","All I Want for Christmas Is You",241107,88,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273
"122","James Arthur","Train Wreck",208827,88,0.311,0.485,6,-5.726,0,0.0365,0.701,0,0.0726,0.225,77.355
"123","Juice WRLD","Robbery",240051,88,0.685,0.692,2,-5.122,1,0.0457,0.328,0,0.153,0.578,159.966
"124","Travis Scott","HIGHEST IN THE ROOM",175721,88,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469
"125","Harry Styles","Falling",240133,88,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011
"126","Harry Styles","Adore You",207133,88,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048
"127","Billie Eilish","bad guy",194088,88,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128
"128","Surf Mesa, Emilee","ily (i love you baby) (feat. Emilee)",176547,88,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05
"129","KAROL G, Nicki Minaj","Tusa",200960,88,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085
"130","Jack Harlow","Tyler Herro",156498,88,0.794,0.756,5,-7.16,0,0.136,0.11,0,0.247,0.775,123.066
